thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
42.58,44.46,7.63,29.81,1.15,66.91,51.03,38.28,-3.77,52.88,34.66,25.99,0.26,12.54,20.25,15.19,-13.54,23.79,1.1,0.82
41.15,44.49,7.63,29.86,1.11,66.54,51.78,38.84,-3.4,50.78,36.58,27.43,1.41,9.18,20.65,15.49,-13.1,21.96,1.1,0.82
40.9,44.74,7.63,30.62,1.04,66.51,50.91,38.18,-3.03,46.76,37.02,27.76,2.2,5.53,18.31,13.74,-13.77,19.09,1.06,0.8
41.08,44.86,7.63,30.77,0.98,66.72,49.45,37.09,-3.01,46.4,36.91,27.68,2.26,5.03,16.78,12.58,-13.98,18.66,0.93,0.7
41.38,45.27,7.7,30.97,0.91,67.05,47.78,35.84,-2.96,45.85,36.7,27.53,2.27,4.84,14,10.5,-14.18,18.33,0.8,0.6
41.68,45.36,7.7,31.75,0.85,67.27,47.06,35.29,-3.01,45.69,35.34,26.5,2.09,5.01,12.57,9.43,-14.52,18.43,0.73,0.54
42.1,45.13,7.81,31.71,0.82,67.23,46.41,34.81,-3.11,46.02,34.46,25.84,1.71,6.3,12.24,9.18,-13.6,22.58,0.75,0.56
42.42,44.93,7.84,31.59,0.78,67.22,46.36,34.77,-3.21,46.64,34.47,25.85,1.37,7.72,12.29,9.22,-12.57,25.17,0.75,0.56
42.51,44.91,7.91,31.03,0.77,66.95,46.5,34.88,-3.33,48.31,34.62,25.96,0.98,9.94,14.5,10.87,-11.55,27.45,1.36,1.02
42.51,44.93,7.91,30.36,0.76,66.69,47.27,35.45,-3.42,50.09,35.67,26.75,0.79,11.49,16.22,12.16,-11.39,28.18,1.88,1.41
42.7,44.88,7.91,30.23,0.72,66.77,48.05,36.04,-3.5,51.46,37.18,27.88,0.47,13.57,19.07,14.31,-11.34,29.58,3.32,2.49
42.92,45.24,7.98,30.23,0.72,66.92,48.62,36.46,-3.58,52.7,39.5,29.63,0.16,15.42,20.47,15.35,-11.52,30.29,3.78,2.83
43.06,45.34,7.98,30.23,0.74,66.99,49.28,36.96,-3.64,53.69,41.25,30.94,-0.08,16.84,22.95,17.21,-11.64,30.85,4.31,3.23
43.44,45.43,7.98,30.51,0.68,67.42,49.36,37.02,-3.91,57.36,43.84,32.88,-0.55,19.13,23.72,17.79,-11.71,33.04,4.37,3.28
43.5,45.43,7.98,30.54,0.62,67.84,49.46,37.1,-4.11,58.36,44.44,33.33,-0.92,19.45,23.98,17.99,-11.85,33.45,4.38,3.29
43.68,45.5,7.98,30.54,0.54,68.26,49.52,37.14,-4.13,58.26,43.88,32.91,-1.03,19.64,23.96,17.97,-12.05,33.68,4.35,3.26
43.8,45.67,7.98,30.52,0.5,68.6,49.48,37.11,-4.16,58.35,43.08,32.31,-1.05,19.4,23.41,17.56,-12.25,33.66,4.27,3.2
43.86,45.64,7.84,30.33,0.45,68.77,48.84,36.63,-4.21,58.46,39.1,29.33,-1.12,19.3,21.39,16.04,-12.35,33.85,3.59,2.7
43.85,45.55,7.77,30.2,0.42,68.71,48.39,36.29,-4.22,58.34,37.45,28.09,-1.14,19.16,19.72,14.79,-12.32,34.02,3.27,2.45
43.96,45.44,7.7,30.05,0.4,68.72,48.24,36.18,-4.27,58.81,32.99,24.74,-1.14,18.82,17.97,13.48,-12.35,34.11,3.04,2.28
43.99,45.51,7.7,29.84,0.4,68.52,48.05,36.04,-4.35,59.54,25.72,19.29,-1.03,17.88,16.53,12.4,-12.33,33.71,2.52,1.89
44.03,45.44,7.7,29.68,0.4,68.33,47.58,35.68,-4.36,59.38,23.33,17.49,-0.91,16.86,13.98,10.49,-12.62,32.49,2.05,1.54
44,45.5,7.7,29.47,0.41,68.18,47.18,35.38,-4.34,59.13,20.03,15.02,-0.79,16.22,12.32,9.24,-12.84,31.97,1.57,1.18
43.77,45.48,7.66,29.19,0.44,67.86,46.88,35.16,-4.31,59,17.77,13.33,-0.44,14.29,10,7.5,-13.28,29.2,1.39,1.04
43.79,45.46,7.63,28.96,0.47,67.7,46.67,35,-4.29,58.76,15.58,11.68,0.19,10.44,8.04,6.03,-14.51,24.44,1.36,1.02
43.72,45.39,7.56,28.75,0.5,67.43,45.78,34.33,-4.26,58.32,11.67,8.75,1.04,5.31,5.43,4.07,-15.3,21.24,1.34,1
43.78,45.28,7.56,28.25,0.52,67.25,45.09,33.82,-4.26,58.15,9.15,6.86,1.56,1.95,3.02,2.26,-15.59,20.39,1.29,0.97
43.8,45.07,7.49,27.41,0.5,67.01,44.32,33.24,-4.24,57.69,6.07,4.55,2.09,-1.43,1.5,1.12,-15.87,19.28,1.21,0.9
43.89,44.71,7.41,25.12,0.5,66.7,43.96,32.97,-4.07,53.82,5.15,3.86,2.53,-5.08,1.12,0.84,-16.19,16.56,1.16,0.87
44.1,44.11,7.35,23.64,0.5,66.12,43.45,32.58,-3.9,47.71,3.55,2.66,3.15,-11.58,0.91,0.68,-16.99,12.33,1.09,0.82
44.12,43.8,7.18,21.38,0.5,65.93,42.94,32.21,-3.92,46.85,3.35,2.51,3.16,-12.77,0.88,0.66,-17.3,11.65,1.02,0.77
44.44,43.55,7.11,20.61,0.5,65.7,42.51,31.88,-3.93,46.02,3.16,2.37,3.28,-14.55,0.84,0.63,-17.74,9.51,0.84,0.63
44.38,43.73,7.04,19.44,0.49,65.39,42.15,31.61,-3.91,43.82,2.56,1.92,3.66,-18.43,0.8,0.6,-18.29,6.27,0.77,0.58
44.42,44.51,7.05,19.42,0.51,65.3,41.74,31.31,-3.78,40.89,1.91,1.43,4.71,-25.66,0.78,0.59,-18.45,-2.65,0.67,0.5
45.04,45.93,7.17,19.67,0.53,65.31,42.64,31.98,-3.83,39.53,1.85,1.39,4.99,-29.52,0.74,0.56,-18.11,-8.51,0.58,0.43
45.08,46.34,7.62,21.22,0.53,65.34,41.78,31.33,-3.89,38.93,1.63,1.23,4.87,-30.38,0.74,0.55,-18.46,-11.54,0.57,0.43
45.15,47.14,8.22,22.36,0.56,65.48,41.19,30.89,-3.83,38.01,1.21,0.91,5.11,-31.64,0.71,0.54,-18,-13.55,0.56,0.42
45.29,47.63,8.72,23.15,0.56,65.51,40.7,30.52,-3.8,37.89,0.93,0.7,5.16,-31.53,0.58,0.43,-18.01,-13.56,0.56,0.42
45.1,47.81,8.94,24.55,0.58,65.13,39.33,29.49,-3.73,37.63,0.85,0.64,5.27,-31.2,0.54,0.41,-17.64,-13.23,0.56,0.42
45.21,47.69,8.93,24.91,0.57,64.95,38.64,28.98,-3.62,37.3,0.85,0.64,5.42,-30.64,0.52,0.39,-18.04,-12.16,0.56,0.42
45.09,47.43,8.8,25.33,0.56,64.69,38.52,28.89,-3.56,37.21,1.04,0.78,5.45,-29.72,0.51,0.38,-18.36,-11.48,0.54,0.4
45.1,47.2,8.6,25.53,0.54,64.72,38.72,29.04,-3.5,36.75,1.41,1.06,5.51,-29.56,0.51,0.39,-18.42,-11.39,0.54,0.4
45.01,47.03,8.44,25.61,0.48,64.59,39.38,29.53,-3.33,35.63,4.63,3.47,5.56,-28.05,0.52,0.39,-18.17,-10.6,0.54,0.4
44.91,46.77,8.3,26.74,0.48,64.51,39.91,29.93,-3.43,37.13,4.62,3.46,4.95,-24.27,0.72,0.54,-18.07,-9.34,0.55,0.41
44.97,46.3,7.77,26.8,0.51,64.27,41.08,30.81,-3.82,41.21,6.81,5.11,3.86,-20.41,1.25,0.93,-17.56,-8.2,0.67,0.5
45,46.1,7.7,26.81,0.55,64.17,41.79,31.34,-4.05,43.74,6.78,5.09,2.95,-16.32,1.32,0.99,-17.5,-7.11,0.68,0.51
45.05,45.95,7.66,26.78,0.59,64.03,42.29,31.72,-4.13,44.87,6.05,4.54,2.56,-14.05,1.35,1.02,-17.5,-6.26,0.68,0.51
45.47,46.08,7.67,26.8,0.53,64.44,43.23,32.42,-4.29,47.81,5.87,4.41,1.65,-8.5,1.52,1.14,-16.65,-2.88,0.7,0.52
45.51,45.94,7.71,26.79,0.53,64.3,43.44,32.58,-4.29,47.93,5.99,4.49,1.39,-6.66,1.8,1.35,-15.62,0.81,0.7,0.53
45.28,45.74,8.06,26.74,0.53,63.99,44.37,33.28,-4.2,47.7,6.98,5.23,1.28,-4.53,3.05,2.29,-14.04,5.52,0.78,0.59
45.26,45.72,8.29,26.58,0.54,63.73,45.09,33.82,-4.24,49.02,8.51,6.38,1.05,-2.49,4.28,3.21,-13.41,7.61,1.15,0.87
45.49,45.75,8.36,26.47,0.5,63.84,46.11,34.58,-4.24,49.54,10.32,7.74,0.96,-1.55,5.76,4.32,-13.69,8.63,1.5,1.12
45.81,45.95,8.36,26.6,0.41,64.18,46.88,35.16,-4.24,49.84,11.55,8.67,0.81,-0.37,7.09,5.32,-14.16,8.88,2.11,1.58
46.06,46.19,8.33,26.97,0.36,64.42,46.92,35.19,-4.25,49.57,12.55,9.41,0.72,-0.05,7.97,5.98,-14.31,8.68,2.39,1.79
46.16,46.38,8.26,27.26,0.24,64.15,47.21,35.41,-4.24,48.95,12.55,9.41,0.69,-0.17,8.72,6.54,-14.8,7.92,2.39,1.79
47.43,47.03,8.26,27.19,0.05,63.58,47.6,35.7,-4.38,47.89,12.53,9.4,0.1,0.85,8.41,6.3,-16.89,6.43,2.37,1.78
49.04,47.62,8.26,27.12,-0.32,62.86,48.63,36.48,-4.71,46.95,12.4,9.3,-1.14,3.74,8.28,6.21,-19.45,4.47,2.22,1.67
50.15,48.02,8.17,25.21,-0.57,62.67,49.08,36.81,-4.97,45.74,11.89,8.92,-1.87,4.32,6.09,4.57,-22.73,2.59,1.75,1.31
51.05,47.26,8.05,22.73,-0.59,62.7,49.34,37,-4.95,44.61,11.8,8.85,-1.73,3.15,5.68,4.26,-23.79,0.81,1.54,1.16
51.57,43.26,7.55,12.27,-0.56,63.13,48.68,36.51,-4.86,43.81,11.62,8.72,-1.29,0.8,4.74,3.55,-23.74,-1.3,1.5,1.12
51.19,39.35,6.99,10.03,-0.43,63.23,46.65,34.99,-4.67,43.19,11.35,8.51,-0.73,-0.74,4.47,3.35,-23.03,-2.56,1.48,1.11
50.64,36.21,6.14,8.34,-0.35,63.8,44.39,33.29,-4.55,42.55,10.53,7.89,-0.24,-2.67,4.41,3.31,-22.63,-3.43,1.47,1.11
50.28,36,6.03,6.28,-0.29,63.71,42.75,32.06,-4.37,41.99,10.09,7.57,0.22,-3.55,4.33,3.25,-21.7,-3.84,1.47,1.1
50.16,36.91,5.97,5.23,-0.28,63.69,41.96,31.47,-4.31,41.54,9.94,7.45,0.45,-4.4,4.32,3.24,-21.52,-4.41,1.43,1.07
49.24,32.75,5.89,4.83,-0.22,64.12,41.12,30.84,-4.18,41.87,9.82,7.36,0.85,-5.06,4.29,3.22,-20.56,-4.66,1.21,0.9
47.73,27.79,5.9,4.42,-0.04,64.81,38.83,29.12,-3.93,42.47,9.75,7.31,1.59,-5.88,4.28,3.21,-19.35,-4.56,1.16,0.87
46.9,26.28,5.97,2.77,0.04,64.83,36.67,27.5,-3.74,42.33,9.49,7.12,2.11,-6.64,4.25,3.18,-18.28,-4.54,1.16,0.87
45.98,25.53,6.04,2.31,0.11,65.17,35.86,26.89,-3.6,42.84,9.31,6.98,2.61,-7.33,4.25,3.18,-16.98,-4.23,1.18,0.88
45.95,26.58,6.04,1.84,0.15,65.14,35.86,26.89,-3.5,42.86,9.24,6.93,2.87,-7.55,4.25,3.19,-16.36,-4.23,1.19,0.89
45.47,26.7,5.97,1.68,0.16,64.83,35.92,26.94,-3.45,42.79,9.2,6.9,2.97,-7.41,4.29,3.22,-15.88,-3.99,1.28,0.96
45.72,27.43,5.93,1.67,0.19,64.44,36.15,27.11,-3.4,42.6,9.19,6.89,3.08,-7.49,4.32,3.24,-15.54,-3.9,1.28,0.96
46.26,30.11,5.8,1.68,0.17,64.48,37.14,27.85,-3.35,42.25,9.18,6.89,3.2,-7.91,4.37,3.28,-15.47,-4.16,1.3,0.97
45.91,30.33,5.57,1.86,0.25,63.8,37.46,28.09,-3.34,42.25,9.15,6.86,3.23,-7.85,4.41,3.31,-15.19,-3.99,1.31,0.99
45.65,29.44,5.21,1.86,0.27,63.49,37.48,28.11,-3.33,42.43,9.14,6.85,3.24,-7.61,4.42,3.31,-14.82,-3.78,1.31,0.99
45.73,29.45,5.13,1.83,0.27,63.37,37.46,28.1,-3.33,42.35,9.07,6.8,3.19,-7.39,4.42,3.32,-14.84,-3.91,1.34,1
45.9,32.7,5.13,1.9,0.26,62.96,37.88,28.41,-3.33,42.11,9.02,6.77,3.14,-7.29,4.41,3.31,-14.91,-4.35,1.36,1.02
45.44,38.9,5.06,3.53,0.34,61.71,39.31,29.48,-3.38,41.32,9.01,6.76,2.96,-7.48,4.37,3.28,-15.55,-4.84,1.36,1.02
44.9,40.99,5,5.25,0.37,61.88,40.37,30.28,-3.41,41.25,9.01,6.76,2.9,-7.54,4.37,3.28,-15.6,-4.92,1.37,1.02
44.57,42.77,5.1,10.01,0.43,61.31,43.08,32.31,-3.41,41.01,9.24,6.93,2.89,-7.72,4.4,3.3,-15.57,-5.1,1.39,1.05
43.94,44.97,5.72,20.53,0.47,60.55,45.54,34.15,-3.37,40.17,9.81,7.36,2.89,-7.79,4.44,3.33,-15.65,-5.16,1.42,1.06
43.58,49.19,10.66,37.45,0.34,61.7,47.34,35.5,-3.41,40.19,10.78,8.09,2.8,-7.74,4.48,3.36,-16.03,-4.77,1.45,1.09
43.97,51.7,15.49,42.3,0.32,62.41,48.4,36.3,-3.66,42.46,10.58,7.93,2.15,-5.59,4.25,3.19,-17.14,-4.96,1.47,1.11
45.05,53.34,18.2,44.45,0.27,62.95,49.24,36.93,-3.84,43.88,9.51,7.13,1.69,-4.15,3.23,2.42,-17.9,-6.04,1.42,1.07
45.33,53.61,18.73,44.98,0.27,62.92,49.8,37.35,-3.86,43.77,8.49,6.37,1.56,-3.75,2.16,1.62,-18.66,-5.89,1.29,0.97
45.38,54.75,20.35,45.11,0.28,62.65,50.44,37.83,-3.87,43.51,6.43,4.82,1.47,-3.45,1.19,0.89,-18.86,-5.23,1.15,0.86
45.47,54.44,18.59,36.35,0.34,61.74,50.3,37.73,-3.88,43.46,6.28,4.71,1.43,-3.35,0.97,0.73,-20.31,-3.06,1.08,0.81
46.31,54.44,18.59,30.04,0.37,61.45,50.06,37.55,-3.85,43.26,6.02,4.52,1.62,-4.34,0.94,0.71,-21.29,0.18,1.04,0.78
48.62,50.85,16.05,19.4,0.48,60.83,48.02,36.01,-4.03,39.88,5.29,3.97,2.16,-13.09,0.93,0.7,-26.33,3.28,0.73,0.55
